English word,Greek words,Synsets
Accustomed,"εἰθισμένος, συνήθης, εἰωθώς, σύντροφος, νομιζόμενος, ἠθάς, νόμιμος",make psychologically or physically used (to something)
,,(often followed by `to') in the habit of or adapted to
,,commonly used or practiced; usual
Acerbity,πικρότης,a sharp bitterness
,,a sharp sour taste
,,a rough and bitter manner
Ache,"ὀδυνᾶσθαι, ἀλγύνεσθαι, ἀλγεῖν",a dull persistent (usually moderately intense) pain
,,feel physical pain
,,have a desire for something or someone who is not present
,,be the source of pain
Achieve,"κτᾶσθαι, φέρεσθαι, εὑρίσκειν, φέρειν, ἐκπονεῖν, κομίζειν, ἐκμοχθεῖν, εὑρίσκεσθαι, ἐκφέρεσθαι, κομίζεσθαι",to gain with effort
Achievement,"ἀγώνισμα, κτῆσις",the action of accomplishing something
Acid,"στρυφνός, αὐστηρός",any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt
,,street name for lysergic acid diethylamide
,,harsh or corrosive in tone
,,being sour to the taste
,,having the characteristics of an acid
Acidity,αὐστηρότης,the property of being acidic
,,the taste experience when something acidic is taken into the mouth
,,pH values below 7
Acknowledge,"προσομολογεῖν, δέχεσθαι, ὁμολογεῖν, προσδέχεσθαι",declare to be true or admit the existence or reality or truth of
,,report the receipt of
,,"express recognition of the presence or existence of, or acquaintance with"
,,"express obligation, thanks, or gratitude for"
,,accept as legally binding and valid
,,accept (someone) to be what is claimed or accept his power and authority
Acknowledgment,"ὁμολογία, ἀμοιβή",the state or quality of being recognized or acknowledged
,,a short note recognizing a source of information or of a quoted passage
,,a statement acknowledging something or someone
Acme,"ἀκμάζειν, ὑπερβολή, ἀκμή",the highest level or degree attainable; the highest stage of development
,,the highest point (of something)
Acorn,βάλανος,fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base
Acquaint,"ὁμιλεῖν, διδάσκειν, μανθάνειν, χρῆσθαι, γνωρίζειν",cause to come to know personally
,,make familiar or conversant with
,,inform
Acquaintance,"ἐπιτήδειος, ἐμπειρία, ἐπιστήμη, συνήθεια, γνώρισις, συνήθης, οἰκεῖος, γνώριμος, οἰκειότης, χρεία",personal knowledge or information about someone or something
,,a relationship less intimate than friendship
,,a person with whom you are acquainted
Acquiesce,"αἰνεῖν, ἀγαπᾶν, στέργειν, ἐπαινεῖν",to agree or express agreement
Acquiescence,"ἡσυχία, καρτερία",acceptance without protest
,,agreement with a statement or proposal to do something
Acquire,"κτᾶσθαι, φέρεσθαι, εὑρίσκειν, φέρειν, ἐκπονεῖν, περιποιεῖσθαι, λαμβάνειν, ἐπικτᾶσθαι, ἐκμοχθεῖν, κατακτᾶσθαι, ἄρνυσθαι, προσκτᾶσθαι, εὑρίσκεσθαι, ἀνύτεσθαι, ἐκφέρεσθαι, κομίζεσθαι",come into the possession of something concrete or abstract
,,"take on a certain form, attribute, or aspect"
,,come to have or undergo a change of (physical features and attributes)
,,locate (a moving entity) by means of a tracking system such as radar
,,win something through one's efforts
,,gain knowledge or skills
,,gain through experience
Acquired,"ἔπακτος, ἐπείσακτος",come into the possession of something concrete or abstract
,,"take on a certain form, attribute, or aspect"
,,come to have or undergo a change of (physical features and attributes)
,,locate (a moving entity) by means of a tracking system such as radar
,,win something through one's efforts
,,gain knowledge or skills
,,gain through experience
,,gotten through environmental forces
Acquirement,"λῆψις, τέχνη, κτῆσις",an ability that has been acquired by training
